OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,20,56, 15736)), ('pm1_cf', 32), ('pm25_cf', 61), ('pm10_cf', 69), ('pm1', 27), ('pm25', 46), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,21,56, 750276)), ('pm1_cf', 30), ('pm25_cf', 56), ('pm10_cf', 69), ('pm1', 26), ('pm25', 44), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,22,57, 577269)), ('pm1_cf', 34), ('pm25_cf', 68), ('pm10_cf', 77), ('pm1', 28), ('pm25', 49), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,23,58, 196003)), ('pm1_cf', 37), ('pm25_cf', 69), ('pm10_cf', 83), ('pm1', 29), ('pm25', 49), ('pm10', 66)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,24,58, 670903)), ('pm1_cf', 34), ('pm25_cf', 61), ('pm10_cf', 72), ('pm1', 28), ('pm25', 46), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,25,59, 485813)), ('pm1_cf', 36), ('pm25_cf', 67), ('pm10_cf', 74), ('pm1', 28), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,26,59, 889707)), ('pm1_cf', 33), ('pm25_cf', 63), ('pm10_cf', 67), ('pm1', 27), ('pm25', 47), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,28,0, 871642)), ('pm1_cf', 35), ('pm25_cf', 70), ('pm10_cf', 76), ('pm1', 27), ('pm25', 49), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,30,2, 600226)), ('pm1_cf', 34), ('pm25_cf', 71), ('pm10_cf', 81), ('pm1', 27), ('pm25', 49), ('pm10', 64)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,31,3, 273583)), ('pm1_cf', 33), ('pm25_cf', 65), ('pm10_cf', 71), ('pm1', 27), ('pm25', 48), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,32,3, 750173)), ('pm1_cf', 33), ('pm25_cf', 70), ('pm10_cf', 74), ('pm1', 27), ('pm25', 49), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,33,4, 154843)), ('pm1_cf', 31), ('pm25_cf', 60), ('pm10_cf', 66), ('pm1', 26), ('pm25', 46), ('pm10', 57)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,34,4, 701019)), ('pm1_cf', 31), ('pm25_cf', 61), ('pm10_cf', 73), ('pm1', 26), ('pm25', 46), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,35,5, 392095)), ('pm1_cf', 34), ('pm25_cf', 64), ('pm10_cf', 70), ('pm1', 28), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,36,6, 355560)), ('pm1_cf', 37), ('pm25_cf', 72), ('pm10_cf', 80), ('pm1', 29), ('pm25', 50), ('pm10', 64)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,37,7, 127969)), ('pm1_cf', 37), ('pm25_cf', 71), ('pm10_cf', 83), ('pm1', 29), ('pm25', 50), ('pm10', 66)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,38,7, 821600)), ('pm1_cf', 33), ('pm25_cf', 65), ('pm10_cf', 72), ('pm1', 27), ('pm25', 48), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,39,8, 336054)), ('pm1_cf', 34), ('pm25_cf', 64), ('pm10_cf', 71), ('pm1', 28), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,40,8, 955119)), ('pm1_cf', 33), ('pm25_cf', 59), ('pm10_cf', 73), ('pm1', 27), ('pm25', 45), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,41,9, 721699)), ('pm1_cf', 33), ('pm25_cf', 63), ('pm10_cf', 71), ('pm1', 27), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,42,10, 331000)), ('pm1_cf', 43), ('pm25_cf', 75), ('pm10_cf', 86), ('pm1', 31), ('pm25', 51), ('pm10', 67)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,43,11, 226900)), ('pm1_cf', 36), ('pm25_cf', 68), ('pm10_cf', 73), ('pm1', 28), ('pm25', 49), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,44,12, 116207)), ('pm1_cf', 35), ('pm25_cf', 62), ('pm10_cf', 77), ('pm1', 28), ('pm25', 46), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,45,12, 807578)), ('pm1_cf', 31), ('pm25_cf', 61), ('pm10_cf', 66), ('pm1', 26), ('pm25', 46), ('pm10', 57)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,46,13, 696154)), ('pm1_cf', 30), ('pm25_cf', 64), ('pm10_cf', 75), ('pm1', 26), ('pm25', 47), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,47,15, 70625)), ('pm1_cf', 35), ('pm25_cf', 71), ('pm10_cf', 79), ('pm1', 28), ('pm25', 50), ('pm10', 64)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,48,16, 48540)), ('pm1_cf', 33), ('pm25_cf', 61), ('pm10_cf', 70), ('pm1', 27), ('pm25', 46), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,49,17, 7351)), ('pm1_cf', 33), ('pm25_cf', 59), ('pm10_cf', 65), ('pm1', 27), ('pm25', 45), ('pm10', 57)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,50,17, 626510)), ('pm1_cf', 34), ('pm25_cf', 62), ('pm10_cf', 68), ('pm1', 28), ('pm25', 46), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,51,18, 675520)), ('pm1_cf', 30), ('pm25_cf', 66), ('pm10_cf', 77), ('pm1', 26), ('pm25', 48), ('pm10', 63)])
,,,,,,,,,,,,,,,,,,,
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,53,21, 10109)), ('pm1_cf', 32), ('pm25_cf', 62), ('pm10_cf', 77), ('pm1', 27), ('pm25', 46), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,54,21, 563558)), ('pm1_cf', 35), ('pm25_cf', 66), ('pm10_cf', 72), ('pm1', 27), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,55,22, 717234)), ('pm1_cf', 30), ('pm25_cf', 62), ('pm10_cf', 68), ('pm1', 26), ('pm25', 46), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,56,23, 537192)), ('pm1_cf', 34), ('pm25_cf', 64), ('pm10_cf', 74), ('pm1', 27), ('pm25', 47), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,57,24, 598759)), ('pm1_cf', 33), ('pm25_cf', 66), ('pm10_cf', 75), ('pm1', 27), ('pm25', 48), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,58,25, 353227)), ('pm1_cf', 38), ('pm25_cf', 67), ('pm10_cf', 78), ('pm1', 29), ('pm25', 48), ('pm10', 64)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,59,25, 916011)), ('pm1_cf', 32), ('pm25_cf', 68), ('pm10_cf', 79), ('pm1', 27), ('pm25', 49), ('pm10', 64)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,0,26, 612076)), ('pm1_cf', 31), ('pm25_cf', 63), ('pm10_cf', 75), ('pm1', 26), ('pm25', 47), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,1,27, 645230)), ('pm1_cf', 32), ('pm25_cf', 67), ('pm10_cf', 72), ('pm1', 27), ('pm25', 48), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,2,28, 123792)), ('pm1_cf', 34), ('pm25_cf', 62), ('pm10_cf', 69), ('pm1', 28), ('pm25', 46), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,3,28, 751429)), ('pm1_cf', 35), ('pm25_cf', 69), ('pm10_cf', 80), ('pm1', 27), ('pm25', 49), ('pm10', 64)])
